Epsiode Cummulative Reward: 2767.7454917430878, Episode Timestpes: 3305,
Epsiode Cummulative Reward: 2214.7387761473656, Episode Timestpes: 1361,
Epsiode Cummulative Reward: 2778.0783154964447, Episode Timestpes: 3735,
Epsiode Cummulative Reward: 2248.3208716511726, Episode Timestpes: 3581,
Epsiode Cummulative Reward: 2235.7275797128677, Episode Timestpes: 1853,
Epsiode Cummulative Reward: 2236.5671358704567, Episode Timestpes: 3131,
Epsiode Cummulative Reward: 2124.06713283062, Episode Timestpes: 1825,
Epsiode Cummulative Reward: 1011.566066801548, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 72.20148152112961, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2207.1828134655952, Episode Timestpes: 1011,
Epsiode Cummulative Reward: 23.507463991642, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2763.8059430122375, Episode Timestpes: 1542,
Epsiode Cummulative Reward: 2114.83205473423, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2.682209014892578e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 763.152969121933, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 714.4589490890503, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2805.7835543751717, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 673.3208838701248, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 7.808208465576172e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6.9141387939453125e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 13.431601583957672, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 413.0211708545685, Episode Timestpes: 1686,
Epsiode Cummulative Reward: 739.5765317082405, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 674.1604378819466, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 470.9888039827347, Episode Timestpes: 2034,
Epsiode Cummulative Reward: 102.41581684350967, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 713.6193810105324, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 461.75372636318207, Episode Timestpes: 259,
Epsiode Cummulative Reward: 656.5298303365707, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1026.7723692655563, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 92.35074144601822, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 628.8246135115623, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.055002212524414e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 9.953975677490234e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -6.794929504394531e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 865.497601389885, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1100.5502914190292, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 7.927417755126953e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4.76837158203125e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 35.25790858268738, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1111.5671594142914, Episode Timestpes: 3807,
Epsiode Cummulative Reward: 312.3134350180626, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 883.2089447379112, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 112.49999272823334, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2115.671630322933, Episode Timestpes: 2337,
Epsiode Cummulative Reward: 140.20522314310074, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 718.656705737114, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 736.2186233401299, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2768.5849804878235, Episode Timestpes: 3471,
