Epsiode Cummulative Reward: -1.1920928955078125e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4.827976226806641e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 77.23880678415298, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1109.0484889149666, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 733.7686339616776, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6.556510925292969e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 273.6940220594406, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 5.0373170375823975, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -1.3113021850585938e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 337.4685190320015, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 758.9552208781242, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 110.81055915355682, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -6.139278411865234e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1178.7313220500946, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1252.611918091774, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1675.7462462186813, Episode Timestpes: 2672,
Epsiode Cummulative Reward: 2780.596985757351, Episode Timestpes: 3637,
Epsiode Cummulative Reward: 2777.2387648820877, Episode Timestpes: 2752,
Epsiode Cummulative Reward: 2230.6902757287025, Episode Timestpes: 1822,
Epsiode Cummulative Reward: 1674.9066898822784, Episode Timestpes: 4158,
Epsiode Cummulative Reward: 2766.3245799541473, Episode Timestpes: 4449,
Epsiode Cummulative Reward: 946.1753392219543, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 496.1753463745117, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 8.463859558105469e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.0728836059570312e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 5.0067901611328125e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.609325408935547e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 4.231929779052734e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -5.4836273193359375e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 502.8917915225029, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1056.058177471161, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 7.152557373046875e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1104.0111692547798, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 98.21839833259583, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1653.07832634449, Episode Timestpes: 4235,
Epsiode Cummulative Reward: 1369.1819155812263, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1682.4626615047455, Episode Timestpes: 2002,
Epsiode Cummulative Reward: 868.0969944596291, Episode Timestpes: 3810,
Epsiode Cummulative Reward: 1674.906682729721, Episode Timestpes: 3075,
Epsiode Cummulative Reward: 873.1342910528183, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2228.171622812748, Episode Timestpes: 3405,
Epsiode Cummulative Reward: 1674.906698346138, Episode Timestpes: 1695,
Epsiode Cummulative Reward: 3749.440278530121, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 899.9999809861183, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 498.6940248012543, Episode Timestpes: 1326,
Epsiode Cummulative Reward: 1098.1343169808388, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 382.8358199596405, Episode Timestpes: 69,
Epsiode Cummulative Reward: 398.7873107790947, Episode Timestpes: 1103,
Epsiode Cummulative Reward: 2.4437904357910156e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 299.69217550754547, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 926.0261037945747, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 71.36194741725922, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -2.384185791015625e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.1324882507324219e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6.556510925292969e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.0, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 6.556510925292969e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2.0623207092285156e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.138448715209961e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.4901161193847656e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1.6808509826660156e-05, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -1.1920928955078125e-07, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 88.15298318862915, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 397.91063499450684, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -2.384185791015625e-06, Episode Timestpes: 4500,
