Epsiode Cummulative Reward: 657.3693841099739, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 95.70895165205002, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 707.6764553785324, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 761.4028540849686, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 226.67909717559814, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2804.1044628620148, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2200.4663898944855, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 683.3955071568489, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 364.36566656827927, Episode Timestpes: 513,
Epsiode Cummulative Reward: 2190.3917779922485, Episode Timestpes: 1479,
Epsiode Cummulative Reward: 761.4738703966141, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 652.3320687413216, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 88.15296882390976, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 739.6455206274986, Episode Timestpes: 4500,
Epsiode Cummulative Reward: -3.874301910400391e-06, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2724.3469947576523, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2207.1827978491783, Episode Timestpes: 2956,
Epsiode Cummulative Reward: 2242.444008886814, Episode Timestpes: 3172,
Epsiode Cummulative Reward: 1637.1268548369408, Episode Timestpes: 3833,
Epsiode Cummulative Reward: 899.160423219204, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 806.8096767067909, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 3913.1529460549355, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2207.1828079223633, Episode Timestpes: 4038,
Epsiode Cummulative Reward: 2226.492503285408, Episode Timestpes: 4194,
Epsiode Cummulative Reward: 337.50000685453415, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 840.3133507370949, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2227.3320746421814, Episode Timestpes: 755,
Epsiode Cummulative Reward: 1200.559679210186, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 74.72015237808228, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1125.839516878128, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 0.8395201563835144, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 372.7611901164055, Episode Timestpes: 837,
Epsiode Cummulative Reward: 7.555956840515137, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2101.3992145061493, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 2228.1716304421425, Episode Timestpes: 3462,
Epsiode Cummulative Reward: 1638.8059436678886, Episode Timestpes: 3680,
Epsiode Cummulative Reward: 769.8693865537643, Episode Timestpes: 1688,
Epsiode Cummulative Reward: 625.466400384903, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 68.84329342842102, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 718.6567013263702, Episode Timestpes: 4500,
Epsiode Cummulative Reward: 1611.100718677044, Episode Timestpes: 4500,
